timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,altitude,activity,delta_time,accelX_rate_of_change,accelY_rate_of_change,accelZ_rate_of_change,gyroX_rate_of_change,gyroY_rate_of_change,gyroZ_rate_of_change,altitude_rate_of_change
293898,-0.12,-0.13,-0.13,-38.77,-38.85,-38.82,212.66,Stairs,2509.0,-1.5942606616181743e-05,-1.9928258270227185e-05,-1.9928258270227185e-05,-0.0125149461937026,-0.0124511757672379,-0.0123913909924272,-0.0002112395376644
298916,-0.31,-0.31,-0.3,102.52,102.4,102.27,211.38,Stairs,2509.0,-1.992825827022718e-05,-1.594260661618174e-05,-1.19569549621363e-05,-0.021937026703866,-0.0223913909924272,-0.0228337983260263,-0.000267038660821
301425,-0.31,-0.3,-0.3,-70.11,-70.57,-71.01,210.74,Stairs,2509.0,0.0,3.98565165404544e-06,0.0,-0.0688043045037863,-0.0689398166600239,-0.0690633718612993,-0.0002550817058589
303934,-0.08,-0.08,-0.08,-28.16,-28.15,-28.18,210.52,Stairs,2509.0,9.166998804304504e-05,8.768433638899959e-05,8.768433638899959e-05,0.0167198086887206,0.0169071343164607,0.0170705460342766,-8.768433638899914e-05
306443,-0.12,-0.13,-0.12,35.28,35.05,34.94,210.54,Stairs,2509.0,-1.5942606616181743e-05,-1.9928258270227185e-05,-1.5942606616181743e-05,0.0252849740932642,0.0251893184535671,0.0251574332403347,7.971303308083622e-06
308952,-0.09,-0.08,-0.08,-19.94,-19.41,-19.06,210.74,Stairs,2509.0,1.1956954962136309e-05,1.9928258270227185e-05,1.5942606616181743e-05,-0.0220087684336389,-0.0217058589079314,-0.0215225189318453,7.971303308091553e-05
311461,-0.13,-0.12,-0.12,74.11,73.82,73.66,211.05,Stairs,2509.0,-1.594260661618175e-05,-1.5942606616181743e-05,-1.5942606616181743e-05,0.0374850538062973,0.0371582303706656,0.0369549621363092,0.0001235552012754
313970,-0.12,-0.13,-0.12,-74.95,-74.85,-74.79,211.3,Stairs,2509.0,3.98565165404544e-06,-3.98565165404544e-06,0.0,-0.0594101235552012,-0.0592546831406935,-0.0591669988043044,9.964129135113592e-05
316479,-0.17,-0.17,-0.16,50.95,51.19,51.34,211.82,Stairs,2509.0,-1.992825827022719e-05,-1.594260661618175e-05,-1.594260661618175e-05,0.050179354324432,0.0502351534475886,0.050271024312475,0.0002072538860103
318988,0.01,0.01,0.0,-36.65,-36.95,-37.15,212.24,Stairs,2509.0,7.174172977281786e-05,7.174172977281786e-05,6.377042646472698e-05,-0.034914308489438,-0.0351295336787564,-0.035269031486648,0.0001673973694699
321497,-0.11,-0.11,-0.11,57.43,58.11,58.53,212.73,Stairs,2509.0,-4.782781984854524e-05,-4.782781984854524e-05,-4.38421681944998e-05,0.0374970107612594,0.0378876046233559,0.0381347150259067,0.0001952969310482
324006,-0.18,-0.18,-0.18,55.75,55.94,56.13,213.28,Stairs,2509.0,-2.7899561578318053e-05,-2.7899561578318053e-05,-2.7899561578318053e-05,-0.0006695894778796,-0.0008648864089278,-0.0009565563969709,0.0002192108409725
326515,-0.11,-0.1,-0.1,-3.52,-3.72,-3.94,213.53,Stairs,2509.0,2.7899561578318053e-05,3.1885213232363485e-05,3.1885213232363485e-05,-0.0236229573535273,-0.023778397768035,-0.0239418094858509,9.964129135113592e-05
329024,-0.13,-0.12,-0.12,-72.17,-71.96,-71.73,213.57,Stairs,2509.0,-7.971303308090875e-06,-7.97130330809087e-06,-7.97130330809087e-06,-0.0273614986050219,-0.027198086887206,-0.027018732562774,1.5942606616178575e-05
331533,-0.16,-0.16,-0.16,-32.28,-31.91,-31.53,213.43,Stairs,2509.0,-1.1956954962136309e-05,-1.594260661618175e-05,-1.594260661618175e-05,0.0158987644479872,0.0159625348744519,0.0160223196492626,-5.579912315663067e-05
334042,-0.19,-0.2,-0.2,44.37,44.14,43.92,213.11,Stairs,2509.0,-1.1956954962136309e-05,-1.594260661618175e-05,-1.594260661618175e-05,0.0305500199282582,0.0303108808290155,0.0300717417297728,-0.0001275408529294
336551,-0.14,-0.14,-0.14,-40.81,-40.22,-39.54,212.68,Stairs,2509.0,1.992825827022718e-05,2.3913909924272617e-05,2.3913909924272617e-05,-0.033949780789159,-0.0336229573535273,-0.0332642487046632,-0.0001713830211239
339060,-0.03,-0.03,-0.03,-20.69,-20.84,-21.02,212.14,Stairs,2509.0,4.384216819449981e-05,4.384216819449981e-05,4.384216819449981e-05,0.0080191311279394,0.00772419290554,0.0073814268632921,-0.0002152251893184
341569,-0.22,-0.22,-0.22,-65.29,-65.6,-65.84,211.6,Stairs,2509.0,-7.57273814268633e-05,-7.57273814268633e-05,-7.57273814268633e-05,-0.0177760063770426,-0.0178397768035073,-0.0178636907134316,-0.0002152251893184
